===============================================================
           Sistemas Distribuí­dos Prof. Elias
          LOG do Trabalho Prático 0, Tarefa 0
      Digitar, compilar e executar o programa tempo.c
   Este programa foi executado para: N=20 processos.
           Tempo Total de Simulação = 1200
===============================================================
[63.0, Proc.15, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0 -1 -1 -1  0  ]: Recebido mensagem de 14
[63.0, Proc. 6, Rodada 0, Sorteio:  1  0  1  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 5
[64.0, Proc.16, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1 -1 -1  0  ]: Recebido mensagem de 15
[64.0, Proc. 7, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 6
[65.0, Proc.17, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1  1 -1  0  ]: Recebido mensagem de 16
[65.0, Proc. 8, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 7
[66.0, Proc. 9, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 8
[67.0, Proc.19, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 18
[67.0, Proc.10, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 9
[68.0, Proc. 0, Rodada 1, Sorteio:  0  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 19
[68.0, Proc.11, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 10
[69.0, Proc. 1, Rodada 1, Sorteio:  0  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Processo 1 e recebeu mensagem de 0 com nova rodada e nao sou candidato
[69.0, Proc.12, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 11
[70.0, Proc.13, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 12
[70.0, Proc. 4, Rodada 0, Sorteio:  1  0  1  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 3
[71.0, Proc.14, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0 -1 -1 -1 -1  0  ]: Recebido mensagem de 13
[71.0, Proc. 5, Rodada 0, Sorteio:  1  0  1  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 4
[72.0, Proc.15, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0 -1 -1 -1  0  ]: Recebido mensagem de 14
[72.0, Proc. 6, Rodada 0, Sorteio:  1  0  1  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 5
[73.0, Proc.16, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1 -1 -1  0  ]: Recebido mensagem de 15
[73.0, Proc. 7, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 6
[74.0, Proc.17, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1  1 -1  0  ]: Recebido mensagem de 16
[74.0, Proc. 8, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 7
[75.0, Proc. 9, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 8
[76.0, Proc.19, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 18
[76.0, Proc.10, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 9
[77.0, Proc. 0, Rodada 1, Sorteio:  0  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 19
[77.0, Proc.11, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 10
[78.0, Proc. 1, Rodada 1, Sorteio:  0  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 0
[78.0, Proc.12, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 11
[79.0, Proc. 2, Rodada 1, Sorteio:  0  0  1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 1 com nova rodada e sorteie o numero 1
[79.0, Proc.13, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 12
[80.0, Proc.14, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0 -1 -1 -1 -1  0  ]: Recebido mensagem de 13
[80.0, Proc. 5, Rodada 0, Sorteio:  1  0  1  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 4
[81.0, Proc.15, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0 -1 -1 -1  0  ]: Recebido mensagem de 14
[81.0, Proc. 6, Rodada 0, Sorteio:  1  0  1  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 5
[82.0, Proc.16, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1 -1 -1  0  ]: Recebido mensagem de 15
[82.0, Proc. 7, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 6
[83.0, Proc.17, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1  1 -1  0  ]: Recebido mensagem de 16
[83.0, Proc. 8, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 7
[84.0, Proc. 9, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 8
[85.0, Proc.19, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 18
[85.0, Proc.10, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 9
[86.0, Proc. 0, Rodada 1, Sorteio:  0  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 19
