===============================================================
           Sistemas Distribuí­dos Prof. Elias
          LOG do Trabalho Prático 0, Tarefa 0
      Digitar, compilar e executar o programa tempo.c
   Este programa foi executado para: N=10 processos.
           Tempo Total de Simulação = 400
===============================================================
[202.0, Proc. 9, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 8
[203.0, Proc. 0, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 9
[204.0, Proc. 1, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 0
[205.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 1
[205.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[206.0, Proc. 3, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 2
[206.0, Proc. 3, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[207.0, Proc. 4, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 3
[207.0, Proc. 4, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[208.0, Proc. 5, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[208.0, Proc. 5, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[209.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[209.0, Proc. 6, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[210.0, Proc. 8, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 7
[211.0, Proc. 9, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 8
[212.0, Proc. 0, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 9
[213.0, Proc. 1, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 0
[214.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 1
[214.0, Proc. 2, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[215.0, Proc. 3, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 2
[215.0, Proc. 3, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[216.0, Proc. 4, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 3
[216.0, Proc. 4, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[217.0, Proc. 5, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[217.0, Proc. 5, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[218.0, Proc. 6, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[218.0, Proc. 6, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[219.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 6
[219.0, Proc. 7, Rodada 2, Sorteio:  0  0  1  0  0  0  0  0  0  0  ]: Eleito um lider
[220.0, Proc. 9, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 8
[221.0, Proc. 0, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 9
